,Unnamed: 0,name,date,platform,score,url,userscore,fullurl,developer,genre,no_userreviews
1930,1930,Destiny 2,"September 6, 2017",PlayStation 4,85,/game/playstation-4/destiny-2,5.0,https://www.metacritic.com/game/playstation-4/destiny-2,Bungie,"['Action', 'Shooter', 'First-Person', 'Arcade']",2375
1931,1931,Wipeout: Omega Collection,"June 6, 2017",PlayStation 4,85,/game/playstation-4/wipeout-omega-collection,8.0,https://www.metacritic.com/game/playstation-4/wipeout-omega-collection,Sony Interactive Entertainment,"['Racing', 'Arcade', 'Futuristic']",306
1932,1932,Mutant Mudds Collection,"December 14, 2017",Switch,85,/game/switch/mutant-mudds-collection,8.3,https://www.metacritic.com/game/switch/mutant-mudds-collection,"Renegade Kid, Atooi LLC","['Action', 'Miscellaneous', 'Platformer', 'Compilation', '2D']",30
1933,1933,NeuroVoider,"September 7, 2017",Switch,85,/game/switch/neurovoider,7.9,https://www.metacritic.com/game/switch/neurovoider,Flying Oak Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",37
1934,1934,Starcraft Remastered,"August 14, 2017",PC,85,/game/pc/starcraft-remastered,7.9,https://www.metacritic.com/game/pc/starcraft-remastered,Blizzard Entertainment,"['Strategy', 'Real-Time', 'Command']",200
1935,1935,NBA 2K18,"September 15, 2017",Xbox One,85,/game/xbox-one/nba-2k18,1.6,https://www.metacritic.com/game/xbox-one/nba-2k18,2K Games,"['Sports', 'Team', 'Basketball', 'Sim']",178
1936,1936,Shadow Tactics: Blades of the Shogun,"August 1, 2017",PlayStation 4,85,/game/playstation-4/shadow-tactics-blades-of-the-shogun,8.2,https://www.metacritic.com/game/playstation-4/shadow-tactics-blades-of-the-shogun,Mimimi Productions,"['Strategy', 'Real-Time', 'Tactics']",91
1937,1937,Planescape: Torment - Enhanced Edition,"April 11, 2017",PC,85,/game/pc/planescape-torment---enhanced-edition,7.1,https://www.metacritic.com/game/pc/planescape-torment---enhanced-edition,Beamdog,"['Role-Playing', 'Western-Style']",107
1938,1938,Pyre,"July 25, 2017",PlayStation 4,85,/game/playstation-4/pyre,7.9,https://www.metacritic.com/game/playstation-4/pyre,Supergiant Games,"['Role-Playing', 'General']",158
1939,1939,DiRT 4,"June 6, 2017",PlayStation 4,85,/game/playstation-4/dirt-4,7.4,https://www.metacritic.com/game/playstation-4/dirt-4,Codemasters,"['Racing', 'Simulation', 'Automobile']",166
1940,1940,Mario + Rabbids: Kingdom Battle,"August 29, 2017",Switch,85,/game/switch/mario-+-rabbids-kingdom-battle,8.4,https://www.metacritic.com/game/switch/mario-+-rabbids-kingdom-battle,"Ubisoft, Ubisoft Paris, Ubisoft Milan","['Action', 'General', 'Strategy', 'Turn-Based', 'Tactics']",1074
