,name,date,platform,score,url,userscore
5311,Tom Clancy's The Division 2: Warlords of New York,"March 3, 2020",PlayStation 4,74,/game/playstation-4/tom-clancys-the-division-2-warlords-of-new-york,1.1
5312,Railway Empire: Switch Edition,"June 19, 2020",Switch,74,/game/switch/railway-empire-switch-edition,6.9
5313,Dungeon Defenders: Awakened,"May 28, 2020",PC,74,/game/pc/dungeon-defenders-awakened,tbd
5314,Minecraft Dungeons,"May 26, 2020",Xbox One,74,/game/xbox-one/minecraft-dungeons,7.8
5315,Sega Ages: G-LOC Air Battle,"April 30, 2020",Switch,74,/game/switch/sega-ages-g-loc-air-battle,tbd
5316,One Line Coloring,"August 21, 2020",Switch,73,/game/switch/one-line-coloring,tbd
5317,Cloudpunk,"April 23, 2020",PC,73,/game/pc/cloudpunk,7.2
5318,Neon Abyss,"July 14, 2020",PC,73,/game/pc/neon-abyss,6.4
5319,Orcs Must Die! 3,"July 14, 2020",Stadia,73,/game/stadia/orcs-must-die!-3,7.6
5320,Lightmatter,"January 15, 2020",PC,73,/game/pc/lightmatter,7.9
5321,Nexomon: Extinction,"August 28, 2020",Switch,73,/game/switch/nexomon-extinction,8.5
5322,The Elder Scrolls Online: Greymoor,"May 26, 2020",PC,73,/game/pc/the-elder-scrolls-online-greymoor,4.5
5323,The Almost Gone,"June 25, 2020",Switch,73,/game/switch/the-almost-gone,tbd
5324,THOTH,"January 9, 2020",Switch,73,/game/switch/thoth,tbd
5325,The TakeOver,"June 4, 2020",Switch,73,/game/switch/the-takeover,8.0
5326,The Outer Worlds: Peril on Gorgon,"September 9, 2020",PC,73,/game/pc/the-outer-worlds-peril-on-gorgon,6.5
5327,Dragon Ball Z: Kakarot,"January 17, 2020",PC,73,/game/pc/dragon-ball-z-kakarot,7.3
5328,KUNAI,"February 6, 2020",Switch,73,/game/switch/kunai,8.1
5329,Rocket Arena,"July 14, 2020",PC,73,/game/pc/rocket-arena,4.8
5330,SNK Gals' Fighters,"April 29, 2020",Switch,73,/game/switch/snk-gals-fighters,8.0
5331,112 Operator,"April 23, 2020",PC,73,/game/pc/112-operator,7.6
5332,The Eternal Castle Remastered,"May 15, 2020",Switch,73,/game/switch/the-eternal-castle-remastered,tbd
5333,Dragon Ball Z: Kakarot,"January 17, 2020",PlayStation 4,73,/game/playstation-4/dragon-ball-z-kakarot,7.9
5334,Dragon Ball Z: Kakarot,"January 17, 2020",Xbox One,73,/game/xbox-one/dragon-ball-z-kakarot,7.4
5335,Iron Danger,"March 25, 2020",PC,73,/game/pc/iron-danger,7.8
5336,Marvel's Iron Man VR,"July 3, 2020",PlayStation 4,73,/game/playstation-4/marvels-iron-man-vr,6.2
5337,Arcade Spirits,"May 1, 2020",PlayStation 4,73,/game/playstation-4/arcade-spirits,tbd
5338,West of Dead,"June 18, 2020",Xbox One,73,/game/xbox-one/west-of-dead,6.2
