,name,date,platform,score,url,userscore
0,Grand Theft Auto V,"April 13, 2015",PC,96,/game/pc/grand-theft-auto-v,7.8
1,Metal Gear Solid V: The Phantom Pain,"September 1, 2015",Xbox One,95,/game/xbox-one/metal-gear-solid-v-the-phantom-pain,7.4
2,The Witcher 3: Wild Hunt,"May 18, 2015",PC,93,/game/pc/the-witcher-3-wild-hunt,9.4
3,Metal Gear Solid V: The Phantom Pain,"September 1, 2015",PlayStation 4,93,/game/playstation-4/metal-gear-solid-v-the-phantom-pain,8.2
4,Journey,"July 21, 2015",PlayStation 4,92,/game/playstation-4/journey,8.3
5,Bloodborne,"March 24, 2015",PlayStation 4,92,/game/playstation-4/bloodborne,8.9
6,The Witcher 3: Wild Hunt,"May 19, 2015",PlayStation 4,92,/game/playstation-4/the-witcher-3-wild-hunt,9.2
7,Undertale,"September 15, 2015",PC,92,/game/pc/undertale,8.4
8,The Witcher 3: Wild Hunt,"May 19, 2015",Xbox One,91,/game/xbox-one/the-witcher-3-wild-hunt,9.2
9,Metal Gear Solid V: The Phantom Pain,"September 1, 2015",PC,91,/game/pc/metal-gear-solid-v-the-phantom-pain,7.8
10,Shovel Knight,"April 21, 2015",PlayStation 4,90,/game/playstation-4/shovel-knight,7.7
11,Mario Kart 8 DLC Pack 2,"April 23, 2015",Wii U,90,/game/wii-u/mario-kart-8-dlc-pack-2,8.9
12,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,"October 20, 2015",PlayStation 4,90,/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,7.9
13,The Witcher 3: Wild Hunt - Hearts of Stone,"October 12, 2015",PlayStation 4,90,/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone,9.0
14,The Witcher 3: Wild Hunt - Hearts of Stone,"October 13, 2015",PC,89,/game/pc/the-witcher-3-wild-hunt---hearts-of-stone,9.1
15,The Legend of Zelda: Majora's Mask 3D,"February 13, 2015",3DS,89,/game/3ds/the-legend-of-zelda-majoras-mask-3d,8.9
16,Pillars of Eternity,"March 26, 2015",PC,89,/game/pc/pillars-of-eternity,8.3
17,3D Gunstar Heroes,"August 20, 2015",3DS,89,/game/3ds/3d-gunstar-heroes,7.9
18,Dark Souls II: Scholar of the First Sin,"April 7, 2015",Xbox One,89,/game/xbox-one/dark-souls-ii-scholar-of-the-first-sin,7.8
19,3D Streets of Rage II,"July 23, 2015",3DS,89,/game/3ds/3d-streets-of-rage-ii,7.6
20,Bastion,"April 7, 2015",PlayStation 4,89,/game/playstation-4/bastion,7.7
21,Nuclear Throne,"December 5, 2015",PC,89,/game/pc/nuclear-throne,7.7
22,Destiny: The Taken King,"September 15, 2015",Xbox One,89,/game/xbox-one/destiny-the-taken-king,5.3
23,Fallout 4,"November 10, 2015",Xbox One,88,/game/xbox-one/fallout-4,6.5
24,Super Mario Maker,"September 11, 2015",Wii U,88,/game/wii-u/super-mario-maker,8.7
25,Divinity: Original Sin Enhanced Edition,"October 27, 2015",Xbox One,88,/game/xbox-one/divinity-original-sin-enhanced-edition,7.6
26,Kerbal Space Program,"April 27, 2015",PC,88,/game/pc/kerbal-space-program,8.2
27,Divinity: Original Sin Enhanced Edition,"October 27, 2015",PlayStation 4,88,/game/playstation-4/divinity-original-sin-enhanced-edition,8.0
28,Ori and the Blind Forest,"March 11, 2015",Xbox One,88,/game/xbox-one/ori-and-the-blind-forest,8.6
29,Starcraft II: Legacy of the Void,"November 10, 2015",PC,88,/game/pc/starcraft-ii-legacy-of-the-void,8.4
30,The Talos Principle: Deluxe Edition,"October 13, 2015",PlayStation 4,88,/game/playstation-4/the-talos-principle-deluxe-edition,8.1
31,Ori and the Blind Forest,"March 11, 2015",PC,88,/game/pc/ori-and-the-blind-forest,8.7
32,Bloodborne: The Old Hunters,"November 24, 2015",PlayStation 4,87,/game/playstation-4/bloodborne-the-old-hunters,9.1
33,Oddworld: Abe's Oddysee - New 'n' Tasty,"February 25, 2015",PC,87,/game/pc/oddworld-abes-oddysee---new-n-tasty,7.7
34,Crypt of the NecroDancer,"April 23, 2015",PC,87,/game/pc/crypt-of-the-necrodancer,7.8
35,Batman: Arkham Knight,"June 23, 2015",PlayStation 4,87,/game/playstation-4/batman-arkham-knight,7.9
36,Forza Motorsport 6,"September 15, 2015",Xbox One,87,/game/xbox-one/forza-motorsport-6,7.7
37,Skylanders SuperChargers,"September 20, 2015",Wii U,87,/game/wii-u/skylanders-superchargers,5.7
38,3D Sonic the Hedgehog 2,"October 8, 2015",3DS,87,/game/3ds/3d-sonic-the-hedgehog-2,8.4
39,Pro Evolution Soccer 2016,"September 15, 2015",PlayStation 4,87,/game/playstation-4/pro-evolution-soccer-2016,7.2
40,3D Out Run,"March 12, 2015",3DS,87,/game/3ds/3d-out-run,8.1
41,Dark Souls II: Scholar of the First Sin,"April 7, 2015",PlayStation 4,87,/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin,7.9
42,NBA 2K16,"September 25, 2015",PlayStation 4,87,/game/playstation-4/nba-2k16,6.7
43,Fallout 4,"November 10, 2015",PlayStation 4,87,/game/playstation-4/fallout-4,6.7
44,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,"October 20, 2015",PC,86,/game/pc/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,8.7
45,Uncharted: The Nathan Drake Collection,"October 9, 2015",PlayStation 4,86,/game/playstation-4/uncharted-the-nathan-drake-collection,8.6
46,Tales from the Borderlands: A Telltale Game Series,"October 20, 2015",PlayStation 4,86,/game/playstation-4/tales-from-the-borderlands-a-telltale-game-series,8.1
47,Final Fantasy XIV: Heavensward,"June 23, 2015",PC,86,/game/pc/final-fantasy-xiv-heavensward,8.4
48,Shovel Knight,"April 21, 2015",Xbox One,86,/game/xbox-one/shovel-knight,7.6
49,DmC: Devil May Cry Definitive Edition,"March 10, 2015",Xbox One,86,/game/xbox-one/dmc-devil-may-cry-definitive-edition,7.9
50,Monster Hunter 4 Ultimate,"February 13, 2015",3DS,86,/game/3ds/monster-hunter-4-ultimate,8.6
51,NBA 2K16,"September 25, 2015",Xbox One,86,/game/xbox-one/nba-2k16,6.1
52,Her Story,"June 24, 2015",PC,86,/game/pc/her-story,6.1
53,Homeworld Remastered Collection,"February 25, 2015",PC,86,/game/pc/homeworld-remastered-collection,8.2
54,Rise of the Tomb Raider,"November 10, 2015",Xbox One,86,/game/xbox-one/rise-of-the-tomb-raider,8.0
55,SteamWorld Heist,"December 10, 2015",3DS,86,/game/3ds/steamworld-heist,8.2
56,Final Fantasy XIV: Heavensward,"June 23, 2015",PlayStation 4,86,/game/playstation-4/final-fantasy-xiv-heavensward,8.3
57,Destiny: The Taken King,"September 15, 2015",PlayStation 4,86,/game/playstation-4/destiny-the-taken-king,6.2
58,Heroes of the Storm,"June 2, 2015",PC,86,/game/pc/heroes-of-the-storm,6.4
59,Code:Realize - Guardian of Rebirth,"October 20, 2015",PlayStation Vita,86,/game/playstation-vita/coderealize---guardian-of-rebirth,8.1
60,OlliOlli2: Welcome to Olliwood,"March 3, 2015",PlayStation 4,86,/game/playstation-4/olliolli2-welcome-to-olliwood,6.5
61,Mortal Kombat X,"April 14, 2015",Xbox One,86,/game/xbox-one/mortal-kombat-x,7.6
62,Gunman Clive HD Collection,"September 3, 2015",Wii U,86,/game/wii-u/gunman-clive-hd-collection,8.2
63,Xenoblade Chronicles 3D,"April 10, 2015",3DS,86,/game/3ds/xenoblade-chronicles-3d,8.8
64,DiRT Rally,"December 7, 2015",PC,86,/game/pc/dirt-rally,8.5
65,Rocket League,"July 5, 2015",PC,86,/game/pc/rocket-league,8.0
66,The Legend of Heroes: Trails of Cold Steel,"December 22, 2015",PlayStation 3,86,/game/playstation-3/the-legend-of-heroes-trails-of-cold-steel,8.7
67,Cities: Skylines,"March 10, 2015",PC,85,/game/pc/cities-skylines,8.8
68,OlliOlli2: Welcome to Olliwood,"March 3, 2015",PlayStation Vita,85,/game/playstation-vita/olliolli2-welcome-to-olliwood,7.1
69,Tales from the Borderlands: A Telltale Game Series,"October 20, 2015",PC,85,/game/pc/tales-from-the-borderlands-a-telltale-game-series,8.5
70,Batman: Arkham Knight,"June 23, 2015",Xbox One,85,/game/xbox-one/batman-arkham-knight,7.0
71,Life is Strange,"October 20, 2015",PlayStation 4,85,/game/playstation-4/life-is-strange,8.6
72,Rocket League,"July 7, 2015",PlayStation 4,85,/game/playstation-4/rocket-league,8.5
73,The Binding of Isaac: Afterbirth,"October 30, 2015",PC,85,/game/pc/the-binding-of-isaac-afterbirth,8.2
74,Chaos Reborn,"October 26, 2015",PC,85,/game/pc/chaos-reborn,7.9
75,Resogun: Defenders,"February 17, 2015",PlayStation 4,85,/game/playstation-4/resogun-defenders,7.2
76,Zenzizenzic,"July 23, 2015",PC,85,/game/pc/zenzizenzic,6.1
77,Mega Man Legacy Collection,"August 24, 2015",PC,85,/game/pc/mega-man-legacy-collection,8.7
78,Pro Evolution Soccer 2016,"September 15, 2015",Xbox One,85,/game/xbox-one/pro-evolution-soccer-2016,6.0
79,System Shock: Enhanced Edition,"September 22, 2015",PC,85,/game/pc/system-shock-enhanced-edition,8.4
80,Super Meat Boy,"October 6, 2015",PlayStation 4,85,/game/playstation-4/super-meat-boy,6.9
81,Rare Replay,"August 4, 2015",Xbox One,84,/game/xbox-one/rare-replay,7.9
82,Freedom Planet,"August 20, 2015",Wii U,84,/game/wii-u/freedom-planet,8.4
83,Shin Megami Tensei: Devil Survivor 2 Record Breaker,"May 5, 2015",3DS,84,/game/3ds/shin-megami-tensei-devil-survivor-2-record-breaker,4.4
84,Halo 5: Guardians,"October 27, 2015",Xbox One,84,/game/xbox-one/halo-5-guardians,6.4
85,80 Days (2015),"September 29, 2015",PC,84,/game/pc/80-days-2015,7.4
86,Hearthstone: Heroes of Warcraft - The Grand Tournament,"August 24, 2015",PC,84,/game/pc/hearthstone-heroes-of-warcraft---the-grand-tournament,4.1
87,Grim Fandango Remastered,"January 27, 2015",PlayStation Vita,84,/game/playstation-vita/grim-fandango-remastered,7.3
88,Axiom Verge,"March 31, 2015",PlayStation 4,84,/game/playstation-4/axiom-verge,7.8
89,Xenoblade Chronicles X,"December 4, 2015",Wii U,84,/game/wii-u/xenoblade-chronicles-x,9.1
90,SOMA,"September 21, 2015",PC,84,/game/pc/soma,8.4
91,Grim Fandango Remastered,"January 26, 2015",PC,84,/game/pc/grim-fandango-remastered,8.0
92,Fallout 4,"November 9, 2015",PC,84,/game/pc/fallout-4,5.5
93,Madden NFL 16,"August 25, 2015",Xbox One,84,/game/xbox-one/madden-nfl-16,6.0
94,FIFA 16,"September 22, 2015",Xbox One,84,/game/xbox-one/fifa-16,4.4
95,Final Fantasy X / X-2 HD Remaster,"May 12, 2015",PlayStation 4,84,/game/playstation-4/final-fantasy-x-x-2-hd-remaster,8.3
96,DmC: Devil May Cry Definitive Edition,"March 10, 2015",PlayStation 4,83,/game/playstation-4/dmc-devil-may-cry-definitive-edition,7.5
97,Life is Strange,"October 20, 2015",PC,83,/game/pc/life-is-strange,8.6
98,Steins;Gate,"June 5, 2015",PlayStation Vita,83,/game/playstation-vita/steinsgate,8.8
99,Resident Evil HD Remaster,"January 20, 2015",PlayStation 4,83,/game/playstation-4/resident-evil-hd-remaster,8.5
100,ZEN Pinball 2: Portal Pinball,"May 26, 2015",PlayStation 4,83,/game/playstation-4/zen-pinball-2-portal-pinball,4.9
101,Project CARS,"May 6, 2015",PC,83,/game/pc/project-cars,7.1
102,Steins;Gate,"June 5, 2015",PlayStation 3,83,/game/playstation-3/steinsgate,8.6
103,SteamWorld Dig,"June 5, 2015",Xbox One,83,/game/xbox-one/steamworld-dig,7.8
104,Stretchmo,"May 14, 2015",3DS,83,/game/3ds/stretchmo,7.9
105,Castle Crashers Remastered,"September 9, 2015",Xbox One,83,/game/xbox-one/castle-crashers-remastered,7.7
106,Yakuza 5,"December 8, 2015",PlayStation 3,83,/game/playstation-3/yakuza-5,8.6
107,Helldivers,"December 7, 2015",PC,83,/game/pc/helldivers,6.9
108,Project CARS,"May 12, 2015",PlayStation 4,83,/game/playstation-4/project-cars,6.6
109,Mortal Kombat X,"April 14, 2015",PlayStation 4,83,/game/playstation-4/mortal-kombat-x,7.8
110,Madden NFL 16,"August 25, 2015",PlayStation 4,83,/game/playstation-4/madden-nfl-16,5.7
111,Tales From The Borderlands: Episode 3 - Catch A Ride,"June 23, 2015",PlayStation 4,83,/game/playstation-4/tales-from-the-borderlands-episode-3---catch-a-ride,7.3
112,Life is Strange: Episode 5 - Polarized,"October 20, 2015",PC,83,/game/pc/life-is-strange-episode-5---polarized,8.4
113,"Invisible, Inc.","May 12, 2015",PC,82,/game/pc/invisible-inc,7.9
114,Gears of War: Ultimate Edition,"August 25, 2015",Xbox One,82,/game/xbox-one/gears-of-war-ultimate-edition,7.6
115,FIFA 16,"September 22, 2015",PlayStation 4,82,/game/playstation-4/fifa-16,4.4
116,Nuclear Throne,"December 5, 2015",PlayStation 4,82,/game/playstation-4/nuclear-throne,6.3
117,Stealth Inc 2: A Game of Clones,"April 3, 2015",Xbox One,82,/game/xbox-one/stealth-inc-2-a-game-of-clones,6.9
118,Borderlands: The Handsome Collection,"March 24, 2015",PlayStation 4,82,/game/playstation-4/borderlands-the-handsome-collection,7.8
119,Runbow,"August 27, 2015",Wii U,82,/game/wii-u/runbow,7.8
120,Lovers in a Dangerous Spacetime,"September 9, 2015",Xbox One,82,/game/xbox-one/lovers-in-a-dangerous-spacetime,7.2
121,N++,"July 28, 2015",PlayStation 4,82,/game/playstation-4/n++,6.6
122,Hearthstone: Heroes of Warcraft - Blackrock Mountain,"April 2, 2015",PC,82,/game/pc/hearthstone-heroes-of-warcraft---blackrock-mountain,6.0
123,Etrian Odyssey 2 Untold: The Fafnir Knight,"August 4, 2015",3DS,82,/game/3ds/etrian-odyssey-2-untold-the-fafnir-knight,7.9
124,Hacknet,"August 12, 2015",PC,82,/game/pc/hacknet,7.6
125,The Talos Principle: Road To Gehenna,"July 23, 2015",PC,82,/game/pc/the-talos-principle-road-to-gehenna,7.8
126,King's Quest Chapter 1: A Knight to Remember,"July 28, 2015",PC,82,/game/pc/kings-quest-chapter-1-a-knight-to-remember,7.3
127,Galak-Z: The Dimensional,"August 4, 2015",PlayStation 4,82,/game/playstation-4/galak-z-the-dimensional,7.1
128,Skullgirls: 2nd Encore,"July 7, 2015",PlayStation 4,82,/game/playstation-4/skullgirls-2nd-encore,7.3
129,Art Academy: Home Studio,"June 25, 2015",Wii U,82,/game/wii-u/art-academy-home-studio,7.9
130,Technobabylon,"May 21, 2015",PC,82,/game/pc/technobabylon,7.8
131,Resident Evil HD Remaster,"January 20, 2015",Xbox One,82,/game/xbox-one/resident-evil-hd-remaster,8.4
132,Resident Evil HD Remaster,"January 20, 2015",PC,82,/game/pc/resident-evil-hd-remaster,8.5
133,Year Walk,"September 17, 2015",Wii U,82,/game/wii-u/year-walk,7.6
134,OlliOlli2: Welcome to Olliwood,"August 11, 2015",PC,82,/game/pc/olliolli2-welcome-to-olliwood,5.8
135,Shadowrun: Hong Kong,"August 20, 2015",PC,81,/game/pc/shadowrun-hong-kong,7.7
136,Splatoon,"May 29, 2015",Wii U,81,/game/wii-u/splatoon,8.7
137,Football Manager 2016,"November 13, 2015",PC,81,/game/pc/football-manager-2016,7.0
138,Tearaway Unfolded,"September 8, 2015",PlayStation 4,81,/game/playstation-4/tearaway-unfolded,8.0
139,Call of Duty: Black Ops III,"November 6, 2015",Xbox One,81,/game/xbox-one/call-of-duty-black-ops-iii,4.6
140,Downwell,"October 15, 2015",PC,81,/game/pc/downwell,6.6
141,Life is Strange: Episode 3 - Chaos Theory,"May 19, 2015",PlayStation 4,81,/game/playstation-4/life-is-strange-episode-3---chaos-theory,8.2
142,FAST Racing NEO,"December 10, 2015",Wii U,81,/game/wii-u/fast-racing-neo,8.6
143,3D Fantasy Zone II W,"April 16, 2015",3DS,81,/game/3ds/3d-fantasy-zone-ii-w,7.0
144,Guitar Hero Live,"October 20, 2015",Xbox One,81,/game/xbox-one/guitar-hero-live,5.0
145,Skylanders SuperChargers,"September 20, 2015",PlayStation 4,81,/game/playstation-4/skylanders-superchargers,3.6
146,Life is Strange: Episode 5 - Polarized,"October 20, 2015",PlayStation 4,81,/game/playstation-4/life-is-strange-episode-5---polarized,8.3
147,Helldivers,"March 3, 2015",PlayStation 4,81,/game/playstation-4/helldivers,8.0
148,Tales From The Borderlands: Episode 3 - Catch A Ride,"June 23, 2015",PC,81,/game/pc/tales-from-the-borderlands-episode-3---catch-a-ride,8.4
149,Brothers: A Tale of Two Sons,"August 11, 2015",PlayStation 4,81,/game/playstation-4/brothers-a-tale-of-two-sons,8.0
150,Broken Age,"April 28, 2015",PlayStation 4,81,/game/playstation-4/broken-age,7.2
151,Life is Strange: Episode 4 - Dark Room,"July 28, 2015",PlayStation 4,81,/game/playstation-4/life-is-strange-episode-4---dark-room,8.4
152,Joe Danger 2: The Movie,"January 13, 2015",PlayStation Vita,81,/game/playstation-vita/joe-danger-2-the-movie,6.6
153,Guild Wars 2: Heart of Thorns,"October 23, 2015",PC,81,/game/pc/guild-wars-2-heart-of-thorns,7.3
154,SUPERBEAT: XONiC,"November 10, 2015",PlayStation Vita,81,/game/playstation-vita/superbeat-xonic,7.3
155,Project CARS,"May 12, 2015",Xbox One,81,/game/xbox-one/project-cars,5.8
156,Tales From The Borderlands: Episode 2 - Atlas Mugged,"March 17, 2015",PlayStation 4,81,/game/playstation-4/tales-from-the-borderlands-episode-2---atlas-mugged,7.4
157,The Age of Decadence,"October 15, 2015",PC,81,/game/pc/the-age-of-decadence,8.0
158,Order of Battle: Pacific,"April 30, 2015",PC,81,/game/pc/order-of-battle-pacific,5.6
159,The Vanishing of Ethan Carter,"July 14, 2015",PlayStation 4,81,/game/playstation-4/the-vanishing-of-ethan-carter,7.4
160,World of Warships,"September 17, 2015",PC,81,/game/pc/world-of-warships,6.3
161,Call of Duty: Black Ops III,"November 6, 2015",PlayStation 4,81,/game/playstation-4/call-of-duty-black-ops-iii,4.9
162,God of War III Remastered,"July 14, 2015",PlayStation 4,81,/game/playstation-4/god-of-war-iii-remastered,8.2
163,Affordable Space Adventures,"April 9, 2015",Wii U,81,/game/wii-u/affordable-space-adventures,8.1
164,FIFA 16,"September 22, 2015",PC,81,/game/pc/fifa-16,4.5
165,3D After Burner II,"January 15, 2015",3DS,81,/game/3ds/3d-after-burner-ii,7.8
166,The Book of Unwritten Tales 2,"February 20, 2015",PC,80,/game/pc/the-book-of-unwritten-tales-2,7.6
167,Disgaea 5: Alliance of Vengeance,"October 6, 2015",PlayStation 4,80,/game/playstation-4/disgaea-5-alliance-of-vengeance,8.2
168,Lovers in a Dangerous Spacetime,"September 9, 2015",PC,80,/game/pc/lovers-in-a-dangerous-spacetime,7.6
169,LEGO Dimensions,"September 27, 2015",Xbox One,80,/game/xbox-one/lego-dimensions,7.0
170,Life is Strange: Episode 5 - Polarized,"October 20, 2015",Xbox One,80,/game/xbox-one/life-is-strange-episode-5---polarized,8.4
171,Westerado: Double Barreled,"April 16, 2015",PC,80,/game/pc/westerado-double-barreled,7.7
172,Volume,"August 18, 2015",PC,80,/game/pc/volume,7.3
173,Age of Wonders III - Eternal Lords,"April 14, 2015",PC,80,/game/pc/age-of-wonders-iii---eternal-lords,8.4
174,Game of Thrones: Episode Three - The Sword in the Darkness,"March 25, 2015",Xbox One,80,/game/xbox-one/game-of-thrones-episode-three---the-sword-in-the-darkness,7.8
175,Disney Infinity 3.0 Edition,"August 30, 2015",PlayStation 4,80,/game/playstation-4/disney-infinity-30-edition,6.0
176,BlazBlue: Chrono Phantasma Extend,"June 30, 2015",PlayStation 4,80,/game/playstation-4/blazblue-chrono-phantasma-extend,7.6
177,Dariusburst: Chronicle Saviours,"December 3, 2015",PC,80,/game/pc/dariusburst-chronicle-saviours,8.6
178,Dariusburst: Chronicle Saviours,"December 2, 2015",PlayStation 4,80,/game/playstation-4/dariusburst-chronicle-saviours,7.1
179,Grandia II Anniversary Edition,"August 24, 2015",PC,80,/game/pc/grandia-ii-anniversary-edition,7.8
180,Gunman Clive 2,"January 20, 2015",3DS,80,/game/3ds/gunman-clive-2,7.7
181,Life is Strange: Episode 3 - Chaos Theory,"May 19, 2015",Xbox One,80,/game/xbox-one/life-is-strange-episode-3---chaos-theory,8.4
182,LEGO Dimensions,"September 27, 2015",PlayStation 4,80,/game/playstation-4/lego-dimensions,7.1
183,Borderlands: The Handsome Collection,"March 24, 2015",Xbox One,80,/game/xbox-one/borderlands-the-handsome-collection,7.9
184,Read Only Memories,"October 5, 2015",PC,80,/game/pc/read-only-memories,4.3
185,Dropsy,"September 10, 2015",PC,80,/game/pc/dropsy,7.4
186,Company of Heroes 2: The British Forces,"September 2, 2015",PC,80,/game/pc/company-of-heroes-2-the-british-forces,6.3
187,Under Night In-Birth Exe:Late,"February 24, 2015",PlayStation 3,80,/game/playstation-3/under-night-in-birth-exelate,8.3
188,Dishonored: Definitive Edition,"August 25, 2015",PlayStation 4,80,/game/playstation-4/dishonored-definitive-edition,7.5
189,MLB 15: The Show,"March 31, 2015",PlayStation 4,80,/game/playstation-4/mlb-15-the-show,7.7
190,Game of Thrones: Episode Six - The Ice Dragon,"November 17, 2015",Xbox One,80,/game/xbox-one/game-of-thrones-episode-six---the-ice-dragon,7.8
191,Mega Man Legacy Collection,"August 25, 2015",Xbox One,80,/game/xbox-one/mega-man-legacy-collection,8.4
192,Super Mega Baseball: Extra Innings,"August 14, 2015",Xbox One,80,/game/xbox-one/super-mega-baseball-extra-innings,7.1
193,NHL 16,"September 15, 2015",Xbox One,80,/game/xbox-one/nhl-16,6.1
194,Hand of Fate,"February 18, 2015",Xbox One,80,/game/xbox-one/hand-of-fate,7.3
195,Grim Fandango Remastered,"January 27, 2015",PlayStation 4,80,/game/playstation-4/grim-fandango-remastered,7.7
196,Wasteland 2: Director's Cut,"October 13, 2015",PlayStation 4,80,/game/playstation-4/wasteland-2-directors-cut,7.5
197,BOXBOY!,"April 2, 2015",3DS,80,/game/3ds/boxboy!,8.1
198,Life is Strange: Episode 3 - Chaos Theory,"May 19, 2015",PC,80,/game/pc/life-is-strange-episode-3---chaos-theory,8.8
199,The Legend of Heroes: Trails in the Sky SC,"October 29, 2015",PC,80,/game/pc/the-legend-of-heroes-trails-in-the-sky-sc,8.8
200,Guitar Hero Live,"October 20, 2015",PlayStation 4,80,/game/playstation-4/guitar-hero-live,6.2
201,The Evil Within: The Assignment,"March 10, 2015",PlayStation 4,80,/game/playstation-4/the-evil-within-the-assignment,8.2
202,Axiom Verge,"May 14, 2015",PC,80,/game/pc/axiom-verge,7.7
203,King's Quest Chapter 1: A Knight to Remember,"July 29, 2015",Xbox One,80,/game/xbox-one/kings-quest-chapter-1-a-knight-to-remember,7.8
204,Hatsune Miku: Project Mirai DX,"September 8, 2015",3DS,80,/game/3ds/hatsune-miku-project-mirai-dx,8.2
205,Nobunaga's Ambition: Sphere of Influence,"September 1, 2015",PlayStation 4,80,/game/playstation-4/nobunagas-ambition-sphere-of-influence,7.6
206,Game of Thrones: Episode Four - Sons of Winter,"May 26, 2015",Xbox One,80,/game/xbox-one/game-of-thrones-episode-four---sons-of-winter,7.1
207,Elite: Dangerous,"October 6, 2015",Xbox One,80,/game/xbox-one/elite-dangerous,7.1
208,Total War: Attila,"February 17, 2015",PC,80,/game/pc/total-war-attila,7.4
209,SMITE,"August 19, 2015",Xbox One,80,/game/xbox-one/smite,7.3
210,BADLAND: Game of the Year Edition,"July 30, 2015",Wii U,80,/game/wii-u/badland-game-of-the-year-edition,7.5
211,Ziggurat,"April 21, 2015",PlayStation 4,80,/game/playstation-4/ziggurat,7.0
212,The Magic Circle,"July 9, 2015",PC,79,/game/pc/the-magic-circle,7.1
213,SOMA,"September 22, 2015",PlayStation 4,79,/game/playstation-4/soma,8.1
214,Rock Band 4,"October 6, 2015",Xbox One,79,/game/xbox-one/rock-band-4,6.5
215,Stasis,"August 31, 2015",PC,79,/game/pc/stasis,7.5
216,Warhammer: End Times - Vermintide,"October 23, 2015",PC,79,/game/pc/warhammer-end-times---vermintide,7.7
217,Else Heart.Break(),"September 24, 2015",PC,79,/game/pc/else-heartbreak(),7.5
218,Cities: Skylines - After Dark,"September 24, 2015",PC,79,/game/pc/cities-skylines---after-dark,7.7
219,Jotun,"September 29, 2015",PC,79,/game/pc/jotun,6.6
220,Dark Souls II: Scholar of the First Sin,"April 1, 2015",PC,79,/game/pc/dark-souls-ii-scholar-of-the-first-sin,7.5
221,Until Dawn,"August 25, 2015",PlayStation 4,79,/game/playstation-4/until-dawn,8.3
222,The Incredible Adventures of Van Helsing: Final Cut,"November 6, 2015",PC,79,/game/pc/the-incredible-adventures-of-van-helsing-final-cut,7.1
223,Stella Glow,"November 17, 2015",3DS,79,/game/3ds/stella-glow,8.4
224,Sid Meier's Civilization: Beyond Earth - Rising Tide,"October 9, 2015",PC,79,/game/pc/sid-meiers-civilization-beyond-earth---rising-tide,6.1
225,Driveclub Bikes,"October 27, 2015",PlayStation 4,79,/game/playstation-4/driveclub-bikes,7.4
226,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,"August 18, 2015",PC,79,/game/pc/tales-from-the-borderlands-episode-4---escape-plan-bravo,8.4
227,Hand of Fate,"February 17, 2015",PlayStation 4,79,/game/playstation-4/hand-of-fate,7.4
228,Frozen Cortex,"February 19, 2015",PC,79,/game/pc/frozen-cortex,6.5
229,Assault Android Cactus,"September 23, 2015",PC,79,/game/pc/assault-android-cactus,6.9
230,The Book of Unwritten Tales 2,"September 18, 2015",Xbox One,79,/game/xbox-one/the-book-of-unwritten-tales-2,7.3
231,Tom Clancy's Rainbow Six Siege,"December 1, 2015",PC,79,/game/pc/tom-clancys-rainbow-six-siege,7.1
232,Extreme Exorcism,"September 23, 2015",Wii U,79,/game/wii-u/extreme-exorcism,6.5
233,Apotheon,"February 3, 2015",PC,78,/game/pc/apotheon,7.7
234,ZEN Pinball 2: Balls of Glory,"October 20, 2015",PlayStation 4,78,/game/playstation-4/zen-pinball-2-balls-of-glory,6.2
235,Yoshi's Woolly World,"October 16, 2015",Wii U,78,/game/wii-u/yoshis-woolly-world,8.5
236,Human Resource Machine,"October 15, 2015",PC,78,/game/pc/human-resource-machine,8.0
237,Adventures of Pip,"June 4, 2015",Wii U,78,/game/wii-u/adventures-of-pip,7.7
238,NHL 16,"September 15, 2015",PlayStation 4,78,/game/playstation-4/nhl-16,5.4
239,Rock Band 4,"October 6, 2015",PlayStation 4,78,/game/playstation-4/rock-band-4,6.4
240,Mushroom 11,"October 15, 2015",PC,78,/game/pc/mushroom-11,7.3
241,Brandish: The Dark Revenant,"January 13, 2015",PSP,78,/game/psp/brandish-the-dark-revenant,8.3
242,Hand of Fate,"February 17, 2015",PC,78,/game/pc/hand-of-fate,7.8
243,Avernum 2: Crystal Souls,"January 14, 2015",PC,78,/game/pc/avernum-2-crystal-souls,7.7
244,Electronic Super Joy,"November 5, 2015",Wii U,78,/game/wii-u/electronic-super-joy,6.8
245,Disney Infinity 3.0 Edition,"August 30, 2015",Xbox One,78,/game/xbox-one/disney-infinity-30-edition,5.8
246,Assassin's Creed Syndicate,"October 23, 2015",Xbox One,78,/game/xbox-one/assassins-creed-syndicate,6.4
247,Oreshika: Tainted Bloodlines,"March 3, 2015",PlayStation Vita,78,/game/playstation-vita/oreshika-tainted-bloodlines,8.0
248,Life is Strange: Episode 2 - Out of Time,"March 24, 2015",PlayStation 4,78,/game/playstation-4/life-is-strange-episode-2---out-of-time,8.2
249,PlanetSide 2,"June 23, 2015",PlayStation 4,78,/game/playstation-4/planetside-2,7.0
