,name,date,platform,score,url,userscore,fullurl,developer,genre
69,Tales from the Borderlands: A Telltale Game Series,2015-10-20,PC,85,/game/pc/tales-from-the-borderlands-a-telltale-game-series,85.0,https://www.metacritic.com/game/pc/tales-from-the-borderlands-a-telltale-game-series,Telltale Games,"['Adventure', 'General']"
70,Batman: Arkham Knight,2015-06-23,Xbox One,85,/game/xbox-one/batman-arkham-knight,70.0,https://www.metacritic.com/game/xbox-one/batman-arkham-knight,Rocksteady Studios,"['General', 'Fantasy', 'Action Adventure', 'Open-World']"
71,Life is Strange,2015-10-20,PlayStation 4,85,/game/playstation-4/life-is-strange,86.0,https://www.metacritic.com/game/playstation-4/life-is-strange,DONTNOD Entertainment,"['Sci-Fi', 'Action Adventure', 'General']"
72,Rocket League,2015-07-07,PlayStation 4,85,/game/playstation-4/rocket-league,85.0,https://www.metacritic.com/game/playstation-4/rocket-league,"Psyonix, Panic Button","['Racing', 'Futuristic', 'Sports', 'Team', 'Soccer', 'Arcade']"
73,The Binding of Isaac: Afterbirth,2015-10-30,PC,85,/game/pc/the-binding-of-isaac-afterbirth,82.0,https://www.metacritic.com/game/pc/the-binding-of-isaac-afterbirth,Nicalis,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']"
74,Chaos Reborn,2015-10-26,PC,85,/game/pc/chaos-reborn,79.0,https://www.metacritic.com/game/pc/chaos-reborn,Snapshot Games Inc.,"['Fantasy', 'Strategy', 'Turn-Based', 'General']"
75,Resogun: Defenders,2015-02-17,PlayStation 4,85,/game/playstation-4/resogun-defenders,72.0,https://www.metacritic.com/game/playstation-4/resogun-defenders,Housemarque,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']"
76,Zenzizenzic,2015-07-23,PC,85,/game/pc/zenzizenzic,61.0,https://www.metacritic.com/game/pc/zenzizenzic,Ruud Koorevaar,"['Action', 'General']"
77,Mega Man Legacy Collection,2015-08-24,PC,85,/game/pc/mega-man-legacy-collection,87.0,https://www.metacritic.com/game/pc/mega-man-legacy-collection,Digital Eclipse,"['Miscellaneous', 'Compilation']"
78,Pro Evolution Soccer 2016,2015-09-15,Xbox One,85,/game/xbox-one/pro-evolution-soccer-2016,60.0,https://www.metacritic.com/game/xbox-one/pro-evolution-soccer-2016,Konami,"['Sports', 'Team', 'Soccer', 'Sim']"
79,System Shock: Enhanced Edition,2015-09-22,PC,85,/game/pc/system-shock-enhanced-edition,84.0,https://www.metacritic.com/game/pc/system-shock-enhanced-edition,Looking Glass Studios,"['Action Adventure', 'General']"
80,Super Meat Boy,2015-10-06,PlayStation 4,85,/game/playstation-4/super-meat-boy,69.0,https://www.metacritic.com/game/playstation-4/super-meat-boy,Team Meat,"['Action', 'Platformer', '2D']"
81,Rare Replay,2015-08-04,Xbox One,84,/game/xbox-one/rare-replay,79.0,https://www.metacritic.com/game/xbox-one/rare-replay,"Rare Ltd., Code Mystics Inc.","['Miscellaneous', 'Compilation']"
82,Freedom Planet,2015-08-20,Wii U,84,/game/wii-u/freedom-planet,84.0,https://www.metacritic.com/game/wii-u/freedom-planet,GalaxyTrail,"['Action', 'Platformer', '2D']"
83,Shin Megami Tensei: Devil Survivor 2 Record Breaker,2015-05-05,3DS,84,/game/3ds/shin-megami-tensei-devil-survivor-2-record-breaker,44.0,https://www.metacritic.com/game/3ds/shin-megami-tensei-devil-survivor-2-record-breaker,Atlus,"['Role-Playing', 'General', 'Strategy', 'Turn-Based', 'Tactics']"
84,Halo 5: Guardians,2015-10-27,Xbox One,84,/game/xbox-one/halo-5-guardians,64.0,https://www.metacritic.com/game/xbox-one/halo-5-guardians,343 Industries,"['Shooter', 'Sci-Fi', 'Sci-Fi', 'Action', 'Shooter', 'First-Person', 'Arcade']"
85,80 Days (2015),2015-09-29,PC,84,/game/pc/80-days-2015,74.0,https://www.metacritic.com/game/pc/80-days-2015,"inkle, Cape Guy","['Adventure', 'Visual Novel']"
86,Hearthstone: Heroes of Warcraft - The Grand Tournament,2015-08-24,PC,84,/game/pc/hearthstone-heroes-of-warcraft---the-grand-tournament,41.0,https://www.metacritic.com/game/pc/hearthstone-heroes-of-warcraft---the-grand-tournament,Blizzard Entertainment,"['Strategy', 'Turn-Based', 'Card Battle']"
87,Grim Fandango Remastered,2015-01-27,PlayStation Vita,84,/game/playstation-vita/grim-fandango-remastered,73.0,https://www.metacritic.com/game/playstation-vita/grim-fandango-remastered,Double Fine Productions,"['Adventure', 'General', '3D', 'Third-Person', 'Fantasy']"
88,Axiom Verge,2015-03-31,PlayStation 4,84,/game/playstation-4/axiom-verge,78.0,https://www.metacritic.com/game/playstation-4/axiom-verge,Tom Happ,"['Sci-Fi', 'Action Adventure', 'General']"
89,Xenoblade Chronicles X,2015-12-04,Wii U,84,/game/wii-u/xenoblade-chronicles-x,91.0,https://www.metacritic.com/game/wii-u/xenoblade-chronicles-x,Monolith Soft,"['Action RPG', 'Role-Playing', 'Action RPG']"
90,SOMA,2015-09-21,PC,84,/game/pc/soma,84.0,https://www.metacritic.com/game/pc/soma,Frictional Games,"['Horror', 'Horror', 'Action Adventure', 'Survival']"
91,Grim Fandango Remastered,2015-01-26,PC,84,/game/pc/grim-fandango-remastered,80.0,https://www.metacritic.com/game/pc/grim-fandango-remastered,Double Fine Productions,"['Adventure', '3D', 'Third-Person', 'Fantasy']"
92,Fallout 4,2015-11-09,PC,84,/game/pc/fallout-4,55.0,https://www.metacritic.com/game/pc/fallout-4,Bethesda Game Studios,"['General', 'Role-Playing', 'Western-Style']"
93,Madden NFL 16,2015-08-25,Xbox One,84,/game/xbox-one/madden-nfl-16,60.0,https://www.metacritic.com/game/xbox-one/madden-nfl-16,EA Sports,"['Sports', 'Team', 'Football', 'Sim']"
94,FIFA 16,2015-09-22,Xbox One,84,/game/xbox-one/fifa-16,44.0,https://www.metacritic.com/game/xbox-one/fifa-16,EA Sports,"['Sports', 'Team', 'Soccer', 'Sim']"
95,Final Fantasy X / X-2 HD Remaster,2015-05-12,PlayStation 4,84,/game/playstation-4/final-fantasy-x-x-2-hd-remaster,83.0,https://www.metacritic.com/game/playstation-4/final-fantasy-x-x-2-hd-remaster,Virtuos,"['Miscellaneous', 'Compilation']"
96,DmC: Devil May Cry Definitive Edition,2015-03-10,PlayStation 4,83,/game/playstation-4/dmc-devil-may-cry-definitive-edition,75.0,https://www.metacritic.com/game/playstation-4/dmc-devil-may-cry-definitive-edition,"Ninja Theory, QLOC","['Fantasy', 'Action Adventure', 'General', 'Linear']"
97,Life is Strange,2015-10-20,PC,83,/game/pc/life-is-strange,86.0,https://www.metacritic.com/game/pc/life-is-strange,DONTNOD Entertainment,"['Action Adventure', 'Sci-Fi', 'General']"
98,Steins;Gate,2015-06-05,PlayStation Vita,83,/game/playstation-vita/steinsgate,88.0,https://www.metacritic.com/game/playstation-vita/steinsgate,5pb,"['Adventure', 'General', 'Visual Novel']"
99,Resident Evil HD Remaster,2015-01-20,PlayStation 4,83,/game/playstation-4/resident-evil-hd-remaster,85.0,https://www.metacritic.com/game/playstation-4/resident-evil-hd-remaster,Capcom,"['Horror', 'Action Adventure', 'Survival']"
100,ZEN Pinball 2: Portal Pinball,2015-05-26,PlayStation 4,83,/game/playstation-4/zen-pinball-2-portal-pinball,49.0,https://www.metacritic.com/game/playstation-4/zen-pinball-2-portal-pinball,Zen Studios,"['Action', 'Pinball']"
101,Project CARS,2015-05-06,PC,83,/game/pc/project-cars,71.0,https://www.metacritic.com/game/pc/project-cars,Slightly Mad Studios,"['Driving', 'General', 'Racing', 'Simulation', 'General', 'Automobile']"
102,Steins;Gate,2015-06-05,PlayStation 3,83,/game/playstation-3/steinsgate,86.0,https://www.metacritic.com/game/playstation-3/steinsgate,Nitro+,"['Adventure', 'General', 'Visual Novel']"
103,SteamWorld Dig,2015-06-05,Xbox One,83,/game/xbox-one/steamworld-dig,78.0,https://www.metacritic.com/game/xbox-one/steamworld-dig,Image & Form,"['Action', 'Action Adventure', 'General', 'Platformer', '2D']"
104,Stretchmo,2015-05-14,3DS,83,/game/3ds/stretchmo,79.0,https://www.metacritic.com/game/3ds/stretchmo,Intelligent Systems,"['Puzzle', 'Action']"
105,Castle Crashers Remastered,2015-09-09,Xbox One,83,/game/xbox-one/castle-crashers-remastered,77.0,https://www.metacritic.com/game/xbox-one/castle-crashers-remastered,The Behemoth,"['Action', ""Beat-'Em-Up"", '2D']"
106,Yakuza 5,2015-12-08,PlayStation 3,83,/game/playstation-3/yakuza-5,86.0,https://www.metacritic.com/game/playstation-3/yakuza-5,Ryu ga Gotoku Studios,"['Modern', 'Action Adventure', 'Open-World']"
107,Helldivers,2015-12-07,PC,83,/game/pc/helldivers,69.0,https://www.metacritic.com/game/pc/helldivers,Arrowhead Game Studios,"['Action', 'Shooter', 'Third-Person', 'Arcade']"
108,Project CARS,2015-05-12,PlayStation 4,83,/game/playstation-4/project-cars,66.0,https://www.metacritic.com/game/playstation-4/project-cars,Slightly Mad Studios,"['Driving', 'Racing', 'Simulation', 'General', 'Automobile']"
109,Mortal Kombat X,2015-04-14,PlayStation 4,83,/game/playstation-4/mortal-kombat-x,78.0,https://www.metacritic.com/game/playstation-4/mortal-kombat-x,"Warner Bros. Interactive Entertainment, NetherRealm Studios","['Action', 'Fighting', '2D', '3D']"
110,Madden NFL 16,2015-08-25,PlayStation 4,83,/game/playstation-4/madden-nfl-16,57.0,https://www.metacritic.com/game/playstation-4/madden-nfl-16,EA Sports,"['Sports', 'Team', 'Football', 'Sim']"
111,Tales From The Borderlands: Episode 3 - Catch A Ride,2015-06-23,PlayStation 4,83,/game/playstation-4/tales-from-the-borderlands-episode-3---catch-a-ride,73.0,https://www.metacritic.com/game/playstation-4/tales-from-the-borderlands-episode-3---catch-a-ride,Telltale Games,"['Adventure', 'General']"
112,Life is Strange: Episode 5 - Polarized,2015-10-20,PC,83,/game/pc/life-is-strange-episode-5---polarized,84.0,https://www.metacritic.com/game/pc/life-is-strange-episode-5---polarized,DONTNOD Entertainment,"['Action Adventure', 'General']"
113,"Invisible, Inc.",2015-05-12,PC,82,/game/pc/invisible-inc,79.0,https://www.metacritic.com/game/pc/invisible-inc,Klei Entertainment,"['Sci-Fi', 'Strategy', 'Turn-Based', 'General', 'Tactics']"
114,Gears of War: Ultimate Edition,2015-08-25,Xbox One,82,/game/xbox-one/gears-of-war-ultimate-edition,76.0,https://www.metacritic.com/game/xbox-one/gears-of-war-ultimate-edition,"Splash Damage, The Coalition","['Action', 'Shooter', 'Third-Person', 'Arcade']"
115,FIFA 16,2015-09-22,PlayStation 4,82,/game/playstation-4/fifa-16,44.0,https://www.metacritic.com/game/playstation-4/fifa-16,EA Sports,"['Sports', 'Team', 'Soccer', 'Sim']"
116,Nuclear Throne,2015-12-05,PlayStation 4,82,/game/playstation-4/nuclear-throne,63.0,https://www.metacritic.com/game/playstation-4/nuclear-throne,Vlambeer,"['General', 'Action', 'General', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']"
117,Stealth Inc 2: A Game of Clones,2015-04-03,Xbox One,82,/game/xbox-one/stealth-inc-2-a-game-of-clones,69.0,https://www.metacritic.com/game/xbox-one/stealth-inc-2-a-game-of-clones,Curve Digital,"['Action', 'Platformer', '2D']"
118,Borderlands: The Handsome Collection,2015-03-24,PlayStation 4,82,/game/playstation-4/borderlands-the-handsome-collection,78.0,https://www.metacritic.com/game/playstation-4/borderlands-the-handsome-collection,"Gearbox Software, Iron Galaxy Studios","['Miscellaneous', 'Compilation']"
119,Runbow,2015-08-27,Wii U,82,/game/wii-u/runbow,78.0,https://www.metacritic.com/game/wii-u/runbow,13AM Games,"['Action', 'General', 'Platformer', '2D']"
120,Lovers in a Dangerous Spacetime,2015-09-09,Xbox One,82,/game/xbox-one/lovers-in-a-dangerous-spacetime,72.0,https://www.metacritic.com/game/xbox-one/lovers-in-a-dangerous-spacetime,Asteroid Base,"['Platformer', '2D', 'Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']"
121,N++,2015-07-28,PlayStation 4,82,/game/playstation-4/n++,66.0,https://www.metacritic.com/game/playstation-4/n++,Metanet Software Inc.,"['Platformer', '2D', 'Action', 'Platformer', '2D']"
122,Hearthstone: Heroes of Warcraft - Blackrock Mountain,2015-04-02,PC,82,/game/pc/hearthstone-heroes-of-warcraft---blackrock-mountain,60.0,https://www.metacritic.com/game/pc/hearthstone-heroes-of-warcraft---blackrock-mountain,Blizzard Entertainment,"['Strategy', 'Turn-Based', 'Card Battle']"
123,Etrian Odyssey 2 Untold: The Fafnir Knight,2015-08-04,3DS,82,/game/3ds/etrian-odyssey-2-untold-the-fafnir-knight,79.0,https://www.metacritic.com/game/3ds/etrian-odyssey-2-untold-the-fafnir-knight,Atlus,"['Role-Playing', 'Japanese-Style', 'Western-Style']"
124,Hacknet,2015-08-12,PC,82,/game/pc/hacknet,76.0,https://www.metacritic.com/game/pc/hacknet,Orann,"['General', 'Miscellaneous', 'General']"
125,The Talos Principle: Road To Gehenna,2015-07-23,PC,82,/game/pc/the-talos-principle-road-to-gehenna,78.0,https://www.metacritic.com/game/pc/the-talos-principle-road-to-gehenna,Croteam,"['Adventure', '3D', 'First-Person']"
126,King's Quest Chapter 1: A Knight to Remember,2015-07-28,PC,82,/game/pc/kings-quest-chapter-1-a-knight-to-remember,73.0,https://www.metacritic.com/game/pc/kings-quest-chapter-1-a-knight-to-remember,The Odd Gentlemen,"['Adventure', 'General']"
127,Galak-Z: The Dimensional,2015-08-04,PlayStation 4,82,/game/playstation-4/galak-z-the-dimensional,71.0,https://www.metacritic.com/game/playstation-4/galak-z-the-dimensional,17-Bit,"['General', 'Shooter', 'Scrolling', 'Scrolling', 'Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']"
128,Skullgirls: 2nd Encore,2015-07-07,PlayStation 4,82,/game/playstation-4/skullgirls-2nd-encore,73.0,https://www.metacritic.com/game/playstation-4/skullgirls-2nd-encore,Lab Zero Games,"['Action', 'Fighting', '2D']"
129,Art Academy: Home Studio,2015-06-25,Wii U,82,/game/wii-u/art-academy-home-studio,79.0,https://www.metacritic.com/game/wii-u/art-academy-home-studio,Headstrong Games,"['Miscellaneous', 'Edutainment']"
130,Technobabylon,2015-05-21,PC,82,/game/pc/technobabylon,78.0,https://www.metacritic.com/game/pc/technobabylon,Technocrat,"['Adventure', 'General', 'Point-and-Click']"
131,Resident Evil HD Remaster,2015-01-20,Xbox One,82,/game/xbox-one/resident-evil-hd-remaster,84.0,https://www.metacritic.com/game/xbox-one/resident-evil-hd-remaster,Capcom,"['Horror', 'Action Adventure', 'Survival']"
132,Resident Evil HD Remaster,2015-01-20,PC,82,/game/pc/resident-evil-hd-remaster,85.0,https://www.metacritic.com/game/pc/resident-evil-hd-remaster,Capcom,"['Action Adventure', 'Horror', 'Survival']"
133,Year Walk,2015-09-17,Wii U,82,/game/wii-u/year-walk,76.0,https://www.metacritic.com/game/wii-u/year-walk,Simogo,"['Adventure', '3D', 'First-Person']"
134,OlliOlli2: Welcome to Olliwood,2015-08-11,PC,82,/game/pc/olliolli2-welcome-to-olliwood,58.0,https://www.metacritic.com/game/pc/olliolli2-welcome-to-olliwood,roll7,"['Sports', 'Individual', 'Skate / Skateboard']"
135,Shadowrun: Hong Kong,2015-08-20,PC,81,/game/pc/shadowrun-hong-kong,77.0,https://www.metacritic.com/game/pc/shadowrun-hong-kong,Harebrained Schemes LLC,"['Role-Playing', 'Western-Style']"
136,Splatoon,2015-05-29,Wii U,81,/game/wii-u/splatoon,87.0,https://www.metacritic.com/game/wii-u/splatoon,Nintendo,"['Fantasy', 'Action', 'Shooter', 'Third-Person', 'Arcade']"
137,Football Manager 2016,2015-11-13,PC,81,/game/pc/football-manager-2016,70.0,https://www.metacritic.com/game/pc/football-manager-2016,Sega,"['Sports', 'Team', 'Soccer', 'Management']"
138,Tearaway Unfolded,2015-09-08,PlayStation 4,81,/game/playstation-4/tearaway-unfolded,80.0,https://www.metacritic.com/game/playstation-4/tearaway-unfolded,Media Molecule,"['Action Adventure', 'Adventure', 'General', 'Fantasy']"
139,Call of Duty: Black Ops III,2015-11-06,Xbox One,81,/game/xbox-one/call-of-duty-black-ops-iii,46.0,https://www.metacritic.com/game/xbox-one/call-of-duty-black-ops-iii,Treyarch,"['Action', 'Shooter', 'First-Person', 'Arcade']"
140,Downwell,2015-10-15,PC,81,/game/pc/downwell,66.0,https://www.metacritic.com/game/pc/downwell,Moppin,"['Action', 'General']"
141,Life is Strange: Episode 3 - Chaos Theory,2015-05-19,PlayStation 4,81,/game/playstation-4/life-is-strange-episode-3---chaos-theory,82.0,https://www.metacritic.com/game/playstation-4/life-is-strange-episode-3---chaos-theory,DONTNOD Entertainment,"['Action Adventure', 'General']"
142,FAST Racing NEO,2015-12-10,Wii U,81,/game/wii-u/fast-racing-neo,86.0,https://www.metacritic.com/game/wii-u/fast-racing-neo,Shin'en,"['Driving', 'Racing', 'Arcade', 'Futuristic']"
143,3D Fantasy Zone II W,2015-04-16,3DS,81,/game/3ds/3d-fantasy-zone-ii-w,70.0,https://www.metacritic.com/game/3ds/3d-fantasy-zone-ii-w,No Data,No Data
144,Guitar Hero Live,2015-10-20,Xbox One,81,/game/xbox-one/guitar-hero-live,50.0,https://www.metacritic.com/game/xbox-one/guitar-hero-live,FreeStyleGames,"['Action', 'Rhythm', 'Music']"
145,Skylanders SuperChargers,2015-09-20,PlayStation 4,81,/game/playstation-4/skylanders-superchargers,36.0,https://www.metacritic.com/game/playstation-4/skylanders-superchargers,Vicarious Visions,"['Action', 'Platformer', '3D']"
146,Life is Strange: Episode 5 - Polarized,2015-10-20,PlayStation 4,81,/game/playstation-4/life-is-strange-episode-5---polarized,83.0,https://www.metacritic.com/game/playstation-4/life-is-strange-episode-5---polarized,DONTNOD Entertainment,"['Action Adventure', 'General']"
147,Helldivers,2015-03-03,PlayStation 4,81,/game/playstation-4/helldivers,80.0,https://www.metacritic.com/game/playstation-4/helldivers,Arrowhead Game Studios,"['Shooter', 'Sci-Fi', 'Sci-Fi', 'Action', 'Shooter', 'Third-Person', 'Arcade']"
148,Tales From The Borderlands: Episode 3 - Catch A Ride,2015-06-23,PC,81,/game/pc/tales-from-the-borderlands-episode-3---catch-a-ride,84.0,https://www.metacritic.com/game/pc/tales-from-the-borderlands-episode-3---catch-a-ride,Telltale Games,"['Adventure', 'General']"
149,Brothers: A Tale of Two Sons,2015-08-11,PlayStation 4,81,/game/playstation-4/brothers-a-tale-of-two-sons,80.0,https://www.metacritic.com/game/playstation-4/brothers-a-tale-of-two-sons,Starbreeze,"['Action Adventure', 'Linear']"
150,Broken Age,2015-04-28,PlayStation 4,81,/game/playstation-4/broken-age,72.0,https://www.metacritic.com/game/playstation-4/broken-age,Double Fine Productions,"['Third-Person', '3D', 'Adventure', 'Point-and-Click']"
151,Life is Strange: Episode 4 - Dark Room,2015-07-28,PlayStation 4,81,/game/playstation-4/life-is-strange-episode-4---dark-room,84.0,https://www.metacritic.com/game/playstation-4/life-is-strange-episode-4---dark-room,DONTNOD Entertainment,"['Action Adventure', 'General']"
