,name,date,platform,score,url,userscore,fullurl,developer,genre
1190,Orwell,2016-10-27,PC,77,/game/pc/orwell,71.0,https://www.metacritic.com/game/pc/orwell,Osmotic Studios,"['Adventure', 'Point-and-Click']"
1191,NHL 17,2016-09-13,Xbox One,77,/game/xbox-one/nhl-17,42.0,https://www.metacritic.com/game/xbox-one/nhl-17,"EA Canada, EA Vancouver","['Sports', 'Team', 'Ice Hockey', 'Sim']"
1192,Hitman GO: Definitive Edition,2016-02-23,PlayStation 4,77,/game/playstation-4/hitman-go-definitive-edition,65.0,https://www.metacritic.com/game/playstation-4/hitman-go-definitive-edition,Square Enix Montreal,"['Strategy', 'Turn-Based', 'General']"
1193,Attack on Titan,2016-08-30,Xbox One,77,/game/xbox-one/attack-on-titan,64.0,https://www.metacritic.com/game/xbox-one/attack-on-titan,Omega Force,"['Action', ""Beat-'Em-Up"", '3D']"
1194,On Rusty Trails,2016-06-13,PC,77,/game/pc/on-rusty-trails,65.0,https://www.metacritic.com/game/pc/on-rusty-trails,Black Pants Studio,"['Action', 'Platformer', '2D']"
1195,Lumo,2016-05-24,PC,77,/game/pc/lumo,60.0,https://www.metacritic.com/game/pc/lumo,Triple Eh? Ltd,"['Action', 'Adventure', 'General', 'Platformer', '3D']"
1196,The Lion's Song,2016-07-07,PC,77,/game/pc/the-lions-song,75.0,https://www.metacritic.com/game/pc/the-lions-song,Mi'pu'mi Games,"['Adventure', 'General', 'Point-and-Click']"
1197,Chronos,2016-03-28,PC,77,/game/pc/chronos,84.0,https://www.metacritic.com/game/pc/chronos,Gunfire Games,"['Action Adventure', 'General']"
1198,Battlefleet Gothic: Armada,2016-04-21,PC,77,/game/pc/battlefleet-gothic-armada,75.0,https://www.metacritic.com/game/pc/battlefleet-gothic-armada,Tindalos Interactive,"['Sci-Fi', 'Strategy', 'Real-Time', 'General']"
1199,Call of Duty: Infinite Warfare,2016-11-04,PlayStation 4,77,/game/playstation-4/call-of-duty-infinite-warfare,40.0,https://www.metacritic.com/game/playstation-4/call-of-duty-infinite-warfare,Infinity Ward,"['Action', 'Shooter', 'First-Person', 'Tactical']"
1200,Kathy Rain,2016-05-05,PC,77,/game/pc/kathy-rain,77.0,https://www.metacritic.com/game/pc/kathy-rain,Clifftop Games,"['Adventure', 'Point-and-Click']"
1201,Day of Infamy,2016-07-28,PC,77,/game/pc/day-of-infamy,82.0,https://www.metacritic.com/game/pc/day-of-infamy,New World Interactive,"['Action', 'Shooter', 'First-Person', 'Tactical']"
1202,Hitman - Intro Pack,2016-03-11,PlayStation 4,77,/game/playstation-4/hitman---intro-pack,52.0,https://www.metacritic.com/game/playstation-4/hitman---intro-pack,Io Interactive,"['Action Adventure', 'General']"
1203,Warhammer: End Times - Vermintide,2016-10-04,Xbox One,77,/game/xbox-one/warhammer-end-times---vermintide,64.0,https://www.metacritic.com/game/xbox-one/warhammer-end-times---vermintide,"Fatshark AB, Nordic Games Publishing","['Action', 'Shooter', 'First-Person', 'Tactical']"
1204,Headlander,2016-07-26,PlayStation 4,77,/game/playstation-4/headlander,70.0,https://www.metacritic.com/game/playstation-4/headlander,Double Fine Productions,"['Action', 'Action Adventure', 'General', 'Platformer', '2D']"
1205,Hue,2016-08-30,PlayStation 4,77,/game/playstation-4/hue,73.0,https://www.metacritic.com/game/playstation-4/hue,Fiddlesticks Games,"['Puzzle', 'Action']"
1206,Furi,2016-07-05,PlayStation 4,77,/game/playstation-4/furi,77.0,https://www.metacritic.com/game/playstation-4/furi,The Game Bakers,"['Action', 'General', 'Fighting', '3D']"
1207,Pac-Man Championship Edition 2,2016-09-13,Xbox One,77,/game/xbox-one/pac-man-championship-edition-2,87.0,https://www.metacritic.com/game/xbox-one/pac-man-championship-edition-2,Bandai Namco Games,"['Action', 'Arcade']"
1208,Dark Train,2016-10-25,PC,77,/game/pc/dark-train,,https://www.metacritic.com/game/pc/dark-train,Paperash studio,"['Adventure', 'General']"
1209,Worms W.M.D,2016-08-23,PC,76,/game/pc/worms-wmd,78.0,https://www.metacritic.com/game/pc/worms-wmd,Team17,"['Strategy', 'Turn-Based', 'Artillery']"
1210,The Banner Saga,2016-01-12,Xbox One,76,/game/xbox-one/the-banner-saga,79.0,https://www.metacritic.com/game/xbox-one/the-banner-saga,Stoic,"['Role-Playing', 'General', 'Strategy', 'Turn-Based', 'Tactics']"
1211,Batman: The Telltale Series - Episode 5: City of Light,2016-12-13,Xbox One,76,/game/xbox-one/batman-the-telltale-series---episode-5-city-of-light,69.0,https://www.metacritic.com/game/xbox-one/batman-the-telltale-series---episode-5-city-of-light,Telltale Games,"['Adventure', 'Point-and-Click']"
1212,Skullgirls: 2nd Encore,2016-04-05,PlayStation Vita,76,/game/playstation-vita/skullgirls-2nd-encore,77.0,https://www.metacritic.com/game/playstation-vita/skullgirls-2nd-encore,Lab Zero Games,"['Action', 'Fighting', '2D']"
1213,Polaris Sector,2016-03-22,PC,76,/game/pc/polaris-sector,71.0,https://www.metacritic.com/game/pc/polaris-sector,SoftWarWare,"['Strategy', 'Turn-Based', '4X']"
1214,The Aquatic Adventure of the Last Human,2016-01-19,PC,76,/game/pc/the-aquatic-adventure-of-the-last-human,65.0,https://www.metacritic.com/game/pc/the-aquatic-adventure-of-the-last-human,"YCJY, YCJY Games","['Action Adventure', 'General', 'Open-World']"
1215,Total War: WARHAMMER - Realm of the Wood Elves,2016-12-08,PC,76,/game/pc/total-war-warhammer---realm-of-the-wood-elves,64.0,https://www.metacritic.com/game/pc/total-war-warhammer---realm-of-the-wood-elves,Creative Assembly,"['Strategy', 'Turn-Based', 'General']"
1216,Tethered,2016-10-25,PlayStation 4,76,/game/playstation-4/tethered,74.0,https://www.metacritic.com/game/playstation-4/tethered,"Secret Sorcery, SECRET SORCERY LIMITED, Secret Sorcery Towers","['Action', 'General']"
1217,10 Second Ninja X,2016-07-19,PlayStation 4,76,/game/playstation-4/10-second-ninja-x,54.0,https://www.metacritic.com/game/playstation-4/10-second-ninja-x,GameDesignDan,"['Action', 'Platformer', '2D']"
1218,Grand Kingdom,2016-06-21,PlayStation Vita,76,/game/playstation-vita/grand-kingdom,83.0,https://www.metacritic.com/game/playstation-vita/grand-kingdom,Spike Chunsoft,"['Strategy', 'Turn-Based', 'Tactics']"
1219,Obduction,2016-08-24,PC,76,/game/pc/obduction,76.0,https://www.metacritic.com/game/pc/obduction,Cyan Worlds,"['Adventure', '3D', 'First-Person']"
1220,Clustertruck,2016-09-27,PC,76,/game/pc/clustertruck,70.0,https://www.metacritic.com/game/pc/clustertruck,"LandFall Games, LandFall","['Action', 'Platformer', '3D']"
1221,Pokken Tournament,2016-03-18,Wii U,76,/game/wii-u/pokken-tournament,73.0,https://www.metacritic.com/game/wii-u/pokken-tournament,Bandai Namco Games,"['Action', 'Fighting', '3D']"
1222,Werewolves Within,2016-12-06,PlayStation 4,76,/game/playstation-4/werewolves-within,71.0,https://www.metacritic.com/game/playstation-4/werewolves-within,Ubisoft,"['Miscellaneous', 'Party / Minigame']"
1223,Trackmania Turbo,2016-03-22,Xbox One,76,/game/xbox-one/trackmania-turbo,73.0,https://www.metacritic.com/game/xbox-one/trackmania-turbo,Nadeo,"['Racing', 'Arcade', 'Automobile']"
1224,Mario & Luigi: Paper Jam,2016-01-22,3DS,76,/game/3ds/mario-luigi-paper-jam,75.0,https://www.metacritic.com/game/3ds/mario-luigi-paper-jam,"Nintendo, Alphadream Corporation","['Role-Playing', 'Japanese-Style']"
1225,Azure Striker Gunvolt 2,2016-09-29,3DS,76,/game/3ds/azure-striker-gunvolt-2,80.0,https://www.metacritic.com/game/3ds/azure-striker-gunvolt-2,Inti Creates,"['Action', 'Platformer', '2D']"
1226,Deponia Doomsday,2016-03-01,PC,76,/game/pc/deponia-doomsday,71.0,https://www.metacritic.com/game/pc/deponia-doomsday,Daedalic Entertainment,"['Adventure', 'Point-and-Click']"
1227,Hyper Light Drifter,2016-07-26,Xbox One,76,/game/xbox-one/hyper-light-drifter,69.0,https://www.metacritic.com/game/xbox-one/hyper-light-drifter,Heart Machine,"['Role-Playing', 'Action RPG']"
1228,The Final Station,2016-08-30,PC,76,/game/pc/the-final-station,75.0,https://www.metacritic.com/game/pc/the-final-station,"tinyBuild, Do My Best Games","['Action Adventure', 'General', 'Linear']"
1229,EA Sports UFC 2,2016-03-15,Xbox One,76,/game/xbox-one/ea-sports-ufc-2,56.0,https://www.metacritic.com/game/xbox-one/ea-sports-ufc-2,EA Sports,"['Sports', 'General', 'Individual', 'Combat', 'Boxing / Martial Arts']"
1230,7th Dragon III Code: VFD,2016-07-12,3DS,76,/game/3ds/7th-dragon-iii-code-vfd,79.0,https://www.metacritic.com/game/3ds/7th-dragon-iii-code-vfd,Sega,"['General', 'Role-Playing', 'Japanese-Style']"
1231,Resident Evil 4,2016-08-30,Xbox One,76,/game/xbox-one/resident-evil-4,82.0,https://www.metacritic.com/game/xbox-one/resident-evil-4,Capcom,"['Action Adventure', 'Survival']"
1232,Far Cry Primal,2016-02-23,PlayStation 4,76,/game/playstation-4/far-cry-primal,66.0,https://www.metacritic.com/game/playstation-4/far-cry-primal,Ubisoft Montreal,"['Action', 'Shooter', 'First-Person', 'Arcade']"
1233,Klaus,2016-01-19,PlayStation 4,76,/game/playstation-4/klaus,72.0,https://www.metacritic.com/game/playstation-4/klaus,La Cosa Entertainment,"['Action', 'Platformer', '2D']"
1234,Heart&Slash,2016-06-28,PlayStation 4,76,/game/playstation-4/heartslash,72.0,https://www.metacritic.com/game/playstation-4/heartslash,AHEARTFULOFGAMES,"['Action', 'General']"
1235,The Walking Dead: Michonne - Episode 3: What We Deserve,2016-04-26,PlayStation 4,76,/game/playstation-4/the-walking-dead-michonne---episode-3-what-we-deserve,71.0,https://www.metacritic.com/game/playstation-4/the-walking-dead-michonne---episode-3-what-we-deserve,Telltale Games,"['Adventure', '3D', 'Third-Person']"
1236,LEGO Star Wars: The Force Awakens,2016-06-28,Xbox One,76,/game/xbox-one/lego-star-wars-the-force-awakens,69.0,https://www.metacritic.com/game/xbox-one/lego-star-wars-the-force-awakens,TT Games,"['Action Adventure', 'General']"
1237,The Magic Circle: Gold Edition,2016-04-26,PlayStation 4,76,/game/playstation-4/the-magic-circle-gold-edition,71.0,https://www.metacritic.com/game/playstation-4/the-magic-circle-gold-edition,Question,"['Adventure', '3D', 'First-Person']"
1238,Paper Mario: Color Splash,2016-10-07,Wii U,76,/game/wii-u/paper-mario-color-splash,71.0,https://www.metacritic.com/game/wii-u/paper-mario-color-splash,"Nintendo, Intelligent Systems","['Role-Playing', 'Japanese-Style']"
1239,Furi,2016-07-05,PC,76,/game/pc/furi,79.0,https://www.metacritic.com/game/pc/furi,The Game Bakers,"['Action', 'General', 'Fighting', '3D']"
1240,Everybody's Gone to the Rapture,2016-04-14,PC,76,/game/pc/everybodys-gone-to-the-rapture,53.0,https://www.metacritic.com/game/pc/everybodys-gone-to-the-rapture,The Chinese Room,"['Adventure', '3D', 'First-Person']"
1241,Firewatch,2016-02-09,PlayStation 4,76,/game/playstation-4/firewatch,68.0,https://www.metacritic.com/game/playstation-4/firewatch,Campo Santo,"['Adventure', '3D', 'First-Person']"
1242,American Truck Simulator,2016-02-02,PC,76,/game/pc/american-truck-simulator,70.0,https://www.metacritic.com/game/pc/american-truck-simulator,SCS Software,"['Simulation', 'Vehicle', 'Civilian']"
1243,Not A Hero: Super Snazzy Edition,2016-05-24,Xbox One,75,/game/xbox-one/not-a-hero-super-snazzy-edition,69.0,https://www.metacritic.com/game/xbox-one/not-a-hero-super-snazzy-edition,roll7,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']"
1244,Unravel,2016-02-09,Xbox One,75,/game/xbox-one/unravel,80.0,https://www.metacritic.com/game/xbox-one/unravel,Coldwood Interactive,"['Action', 'Platformer', '2D']"
1245,Rock Band VR,2016-10-06,PC,75,/game/pc/rock-band-vr,,https://www.metacritic.com/game/pc/rock-band-vr,Harmonix Music Systems,"['Action', 'Rhythm', 'Music']"
1246,Strike Vector EX,2016-08-30,PlayStation 4,75,/game/playstation-4/strike-vector-ex,70.0,https://www.metacritic.com/game/playstation-4/strike-vector-ex,"Strike Vector Team, Ragequit Corporation","['Action', 'General', 'Shooter', 'First-Person', 'Arcade']"
1247,Space Run Galaxy,2016-06-17,PC,75,/game/pc/space-run-galaxy,54.0,https://www.metacritic.com/game/pc/space-run-galaxy,Passtech Games,"['Strategy', 'Real-Time', 'Defense']"
1248,Watch Dogs 2,2016-11-28,PC,75,/game/pc/watch-dogs-2,70.0,https://www.metacritic.com/game/pc/watch-dogs-2,Ubisoft Montreal,"['Action Adventure', 'Open-World']"
1249,Killing Floor 2,2016-11-18,PC,75,/game/pc/killing-floor-2,75.0,https://www.metacritic.com/game/pc/killing-floor-2,Tripwire Interactive,"['Sci-Fi', 'Action', 'Shooter', 'First-Person', 'Arcade']"
1250,Beholder,2016-11-09,PC,75,/game/pc/beholder,78.0,https://www.metacritic.com/game/pc/beholder,Warm Lamp Games,"['Strategy', 'General']"
1251,Seasons After Fall,2016-09-02,PC,75,/game/pc/seasons-after-fall,71.0,https://www.metacritic.com/game/pc/seasons-after-fall,Swing Swing Submarine,"['Platformer', '2D', 'Action', 'Platformer', '2D']"
1252,Killing Floor 2,2016-11-16,PlayStation 4,75,/game/playstation-4/killing-floor-2,72.0,https://www.metacritic.com/game/playstation-4/killing-floor-2,Tripwire Interactive,"['Action', 'Shooter', 'First-Person', 'Arcade']"
1253,Deus Ex: Mankind Divided - System Rift,2016-09-27,PlayStation 4,75,/game/playstation-4/deus-ex-mankind-divided---system-rift,68.0,https://www.metacritic.com/game/playstation-4/deus-ex-mankind-divided---system-rift,Eidos Montreal,"['Action Adventure', 'General']"
1254,Hitman - Intro Pack,2016-03-11,Xbox One,75,/game/xbox-one/hitman---intro-pack,44.0,https://www.metacritic.com/game/xbox-one/hitman---intro-pack,Io Interactive,"['Action Adventure', 'General']"
1255,Hitman - Episode 3: Marrakesh,2016-05-31,PlayStation 4,75,/game/playstation-4/hitman---episode-3-marrakesh,72.0,https://www.metacritic.com/game/playstation-4/hitman---episode-3-marrakesh,Io Interactive,"['Action Adventure', 'General']"
1256,Battlezone 98 Redux,2016-04-18,PC,75,/game/pc/battlezone-98-redux,87.0,https://www.metacritic.com/game/pc/battlezone-98-redux,Big Boat Interactive,"['Simulation', 'Vehicle', 'Combat']"
1257,Silence: The Whispered World 2,2016-11-15,PC,75,/game/pc/silence-the-whispered-world-2,74.0,https://www.metacritic.com/game/pc/silence-the-whispered-world-2,Daedalic Entertainment,"['Adventure', 'General']"
1258,Digimon Story Cyber Sleuth,2016-02-02,PlayStation 4,75,/game/playstation-4/digimon-story-cyber-sleuth,81.0,https://www.metacritic.com/game/playstation-4/digimon-story-cyber-sleuth,Media Vision,"['Role-Playing', 'Japanese-Style', 'Trainer']"
1259,Shardlight,2016-03-08,PC,75,/game/pc/shardlight,66.0,https://www.metacritic.com/game/pc/shardlight,Wadjet Eye Games,"['Adventure', 'Point-and-Click']"
1260,Fallout 4: Far Harbor,2016-05-19,PlayStation 4,75,/game/playstation-4/fallout-4-far-harbor,65.0,https://www.metacritic.com/game/playstation-4/fallout-4-far-harbor,Bethesda Game Studios,"['Role-Playing', 'Western-Style']"
1261,Worms W.M.D,2016-08-23,Xbox One,75,/game/xbox-one/worms-wmd,70.0,https://www.metacritic.com/game/xbox-one/worms-wmd,Team17,"['Strategy', 'Turn-Based', 'Artillery']"
1262,Batman: The Telltale Series - Episode 5: City of Light,2016-12-13,PC,75,/game/pc/batman-the-telltale-series---episode-5-city-of-light,68.0,https://www.metacritic.com/game/pc/batman-the-telltale-series---episode-5-city-of-light,Telltale Games,"['Adventure', 'Point-and-Click']"
1263,Stikbold! A Dodgeball Adventure,2016-04-05,PlayStation 4,75,/game/playstation-4/stikbold!-a-dodgeball-adventure,70.0,https://www.metacritic.com/game/playstation-4/stikbold!-a-dodgeball-adventure,Reign Bros,"['Action', 'Arcade']"
1264,Atelier Sophie: The Alchemist of the Mysterious Book,2016-06-07,PlayStation 4,75,/game/playstation-4/atelier-sophie-the-alchemist-of-the-mysterious-book,78.0,https://www.metacritic.com/game/playstation-4/atelier-sophie-the-alchemist-of-the-mysterious-book,Gust,"['Role-Playing', 'Japanese-Style']"
1265,Batman: The Telltale Series - Episode 4: Guardian of Gotham,2016-11-22,Xbox One,75,/game/xbox-one/batman-the-telltale-series---episode-4-guardian-of-gotham,51.0,https://www.metacritic.com/game/xbox-one/batman-the-telltale-series---episode-4-guardian-of-gotham,Telltale Games,"['Adventure', 'Point-and-Click']"
1266,Road to Ballhalla,2016-08-05,PC,75,/game/pc/road-to-ballhalla,71.0,https://www.metacritic.com/game/pc/road-to-ballhalla,Torched Hill,"['Action', 'Platformer', '3D']"
1267,Resident Evil 5,2016-06-28,Xbox One,75,/game/xbox-one/resident-evil-5,79.0,https://www.metacritic.com/game/xbox-one/resident-evil-5,Capcom,"['Action Adventure', 'Survival']"
1268,Atelier Escha & Logy Plus: Alchemists of the Dusk Sky,2016-01-19,PlayStation Vita,75,/game/playstation-vita/atelier-escha-logy-plus-alchemists-of-the-dusk-sky,82.0,https://www.metacritic.com/game/playstation-vita/atelier-escha-logy-plus-alchemists-of-the-dusk-sky,Gust,"['Role-Playing', 'Japanese-Style']"
1269,Raiden V,2016-05-11,Xbox One,75,/game/xbox-one/raiden-v,78.0,https://www.metacritic.com/game/xbox-one/raiden-v,Moss,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']"
1270,Ittle Dew 2,2016-11-15,PlayStation 4,75,/game/playstation-4/ittle-dew-2,60.0,https://www.metacritic.com/game/playstation-4/ittle-dew-2,Ludosity Interactive,"['Role-Playing', 'Action Adventure', 'General', 'Action RPG']"
1271,Shantae and the Pirate's Curse,2016-04-09,PlayStation 4,75,/game/playstation-4/shantae-and-the-pirates-curse,76.0,https://www.metacritic.com/game/playstation-4/shantae-and-the-pirates-curse,WayForward,"['Action', 'Platformer', '2D']"
1272,The Little Acre,2016-12-13,Xbox One,75,/game/xbox-one/the-little-acre,69.0,https://www.metacritic.com/game/xbox-one/the-little-acre,"Curve Digital Games, Curve Digital","['Action Adventure', 'Linear']"
1273,RIVE,2016-09-13,PlayStation 4,75,/game/playstation-4/rive,72.0,https://www.metacritic.com/game/playstation-4/rive,Two Tribes,"['Action', 'Platformer', '2D']"
1274,Hitman - Intro Pack,2016-03-11,PC,75,/game/pc/hitman---intro-pack,39.0,https://www.metacritic.com/game/pc/hitman---intro-pack,Io Interactive,"['Action Adventure', 'General']"
1275,Valentino Rossi The Game,2016-06-17,PlayStation 4,75,/game/playstation-4/valentino-rossi-the-game,74.0,https://www.metacritic.com/game/playstation-4/valentino-rossi-the-game,"Milestone, Milestone S.r.l","['Racing', 'Simulation', 'Automobile']"
1276,Push Me Pull You,2016-05-03,PlayStation 4,75,/game/playstation-4/push-me-pull-you,66.0,https://www.metacritic.com/game/playstation-4/push-me-pull-you,House House,"['Sports', 'General']"
1277,Yomawari: Night Alone,2016-10-25,PlayStation Vita,75,/game/playstation-vita/yomawari-night-alone,83.0,https://www.metacritic.com/game/playstation-vita/yomawari-night-alone,Nippon Ichi Software,"['Action Adventure', 'Adventure', '3D', 'Survival', 'First-Person']"
1278,Kerbal Space Program,2016-07-15,Xbox One,75,/game/xbox-one/kerbal-space-program,72.0,https://www.metacritic.com/game/xbox-one/kerbal-space-program,"Flying Tiger Entertainment Inc., Squad","['Simulation', 'Space', 'Combat']"
1279,Prison Architect,2016-07-01,Xbox One,75,/game/xbox-one/prison-architect,68.0,https://www.metacritic.com/game/xbox-one/prison-architect,"Introversion, Double Eleven","['Strategy', 'General', 'Management', 'Business / Tycoon']"
1280,"Gremlins, Inc.",2016-03-11,PC,75,/game/pc/gremlins-inc,56.0,https://www.metacritic.com/game/pc/gremlins-inc,Yukitama Creative Industries,"['Miscellaneous', 'Board / Card Game']"
1281,Reus,2016-10-11,PlayStation 4,75,/game/playstation-4/reus,41.0,https://www.metacritic.com/game/playstation-4/reus,"BlitWorks, Soedesco","['Strategy', 'General']"
1282,Event[0],2016-09-14,PC,75,/game/pc/event0,69.0,https://www.metacritic.com/game/pc/event0,Ocelot Society,"['Adventure', '3D', 'First-Person']"
1283,Tropico 5 Penultimate Edition,2016-05-24,Xbox One,75,/game/xbox-one/tropico-5-penultimate-edition,63.0,https://www.metacritic.com/game/xbox-one/tropico-5-penultimate-edition,Kalypso,"['Strategy', 'Management', 'Government']"
1284,Epistory - Typing Chronicles,2016-03-30,PC,74,/game/pc/epistory---typing-chronicles,77.0,https://www.metacritic.com/game/pc/epistory---typing-chronicles,Fishing Cactus,"['Action Adventure', 'General']"
1285,Batman: Arkham VR,2016-10-11,PlayStation 4,74,/game/playstation-4/batman-arkham-vr,73.0,https://www.metacritic.com/game/playstation-4/batman-arkham-vr,Rocksteady Studios,"['Action', 'General']"
1286,Slain: Back from Hell,2016-08-01,PC,74,/game/pc/slain-back-from-hell,81.0,https://www.metacritic.com/game/pc/slain-back-from-hell,Wolf Brew Games,"['Action', 'Platformer', '2D']"
1287,Call of Duty: Black Ops III - Eclipse,2016-04-19,PlayStation 4,74,/game/playstation-4/call-of-duty-black-ops-iii---eclipse,36.0,https://www.metacritic.com/game/playstation-4/call-of-duty-black-ops-iii---eclipse,Treyarch,"['Action', 'Shooter', 'First-Person', 'Arcade']"
1288,Fallout 4: Nuka-World,2016-08-30,PC,74,/game/pc/fallout-4-nuka-world,54.0,https://www.metacritic.com/game/pc/fallout-4-nuka-world,Bethesda Game Studios,"['Role-Playing', 'Western-Style']"
1289,SuperHyperCube,2016-10-13,PlayStation 4,74,/game/playstation-4/superhypercube,61.0,https://www.metacritic.com/game/playstation-4/superhypercube,KOKOROMI,"['Puzzle', 'General']"
1290,Neverwinter,2016-07-19,PlayStation 4,74,/game/playstation-4/neverwinter,66.0,https://www.metacritic.com/game/playstation-4/neverwinter,Cryptic Studios,"['Role-Playing', 'Massively Multiplayer']"
1291,Grim Legends: The Forsaken Bride,2016-06-10,Xbox One,74,/game/xbox-one/grim-legends-the-forsaken-bride,,https://www.metacritic.com/game/xbox-one/grim-legends-the-forsaken-bride,Artifex Mundi,"['Puzzle', 'Hidden Object']"
1292,I Am Setsuna,2016-07-19,PlayStation 4,74,/game/playstation-4/i-am-setsuna,74.0,https://www.metacritic.com/game/playstation-4/i-am-setsuna,Tokyo RPG Factory,"['Role-Playing', 'Japanese-Style']"
1293,Not a Hero,2016-02-02,PlayStation 4,74,/game/playstation-4/not-a-hero,64.0,https://www.metacritic.com/game/playstation-4/not-a-hero,roll7,"['General', 'Action', 'Platformer', 'Shooter', '2D', ""Shoot-'Em-Up"", 'Horizontal']"
1294,Nobunaga's Ambition: Sphere of Influence - Ascension,2016-10-25,PlayStation 4,74,/game/playstation-4/nobunagas-ambition-sphere-of-influence---ascension,71.0,https://www.metacritic.com/game/playstation-4/nobunagas-ambition-sphere-of-influence---ascension,Koei Tecmo Games,"['Strategy', 'Turn-Based', 'General']"
1295,Far Cry Primal,2016-02-29,PC,74,/game/pc/far-cry-primal,56.0,https://www.metacritic.com/game/pc/far-cry-primal,Ubisoft Montreal,"['Action', 'Shooter', 'First-Person', 'Arcade']"
1296,The Turing Test,2016-08-30,PC,74,/game/pc/the-turing-test,67.0,https://www.metacritic.com/game/pc/the-turing-test,Bulkhead Interactive,"['Action', 'Shooter', 'First-Person', 'Arcade']"
1297,Grow Up,2016-08-16,Xbox One,74,/game/xbox-one/grow-up,72.0,https://www.metacritic.com/game/xbox-one/grow-up,Ubisoft Reflections,"['Action Adventure', 'Open-World']"
1298,Layers of Fear,2016-02-16,PlayStation 4,74,/game/playstation-4/layers-of-fear,73.0,https://www.metacritic.com/game/playstation-4/layers-of-fear,Bloober Team,"['Adventure', '3D', 'First-Person']"
1299,Street Fighter V,2016-02-16,PC,74,/game/pc/street-fighter-v,31.0,https://www.metacritic.com/game/pc/street-fighter-v,Capcom,"['Action', 'Fighting', '2D']"
1300,Heaven's Hope,2016-02-25,PC,74,/game/pc/heavens-hope,67.0,https://www.metacritic.com/game/pc/heavens-hope,Mosaic Mask,"['General', 'Adventure', 'Point-and-Click']"
1301,Shadow Complex Remastered,2016-03-16,Xbox One,74,/game/xbox-one/shadow-complex-remastered,58.0,https://www.metacritic.com/game/xbox-one/shadow-complex-remastered,Chair Entertainment,"['Action', 'Shooter', 'Third-Person', 'Arcade']"
1302,Call of Duty: Black Ops III - Awakening,2016-02-02,PlayStation 4,74,/game/playstation-4/call-of-duty-black-ops-iii---awakening,54.0,https://www.metacritic.com/game/playstation-4/call-of-duty-black-ops-iii---awakening,Treyarch,"['Action', 'Shooter', 'First-Person', 'Arcade']"
1303,Star Fox Guard,2016-04-22,Wii U,74,/game/wii-u/star-fox-guard,73.0,https://www.metacritic.com/game/wii-u/star-fox-guard,"Nintendo, PlatinumGames","['Action', 'First-Person', 'Sci-Fi', 'Shooter', 'Strategy', 'Real-Time', 'Defense']"
1304,Amplitude,2016-01-05,PlayStation 4,74,/game/playstation-4/amplitude,72.0,https://www.metacritic.com/game/playstation-4/amplitude,Harmonix Music Systems,"['Miscellaneous', 'Action', 'Rhythm', 'Music']"
1305,Yesterday Origins,2016-11-10,PC,74,/game/pc/yesterday-origins,71.0,https://www.metacritic.com/game/pc/yesterday-origins,Pendulo Studios,"['Adventure', 'Point-and-Click']"
1306,Wild Guns Reloaded,2016-12-20,PlayStation 4,74,/game/playstation-4/wild-guns-reloaded,61.0,https://www.metacritic.com/game/playstation-4/wild-guns-reloaded,"Natsume, NATSUME ATARI Inc.","['Action', 'Platformer', 'Shooter', '2D', 'Light Gun']"
1307,Attack on Titan,2016-08-30,PlayStation 4,74,/game/playstation-4/attack-on-titan,70.0,https://www.metacritic.com/game/playstation-4/attack-on-titan,Omega Force,"['Action', ""Beat-'Em-Up"", '3D']"
1308,Dead Rising 4,2016-12-06,PC,74,/game/pc/dead-rising-4,40.0,https://www.metacritic.com/game/pc/dead-rising-4,"Capcom, Capcom Vancouver","['Action Adventure', 'Open-World']"
1309,Anarcute,2016-07-12,Xbox One,74,/game/xbox-one/anarcute,73.0,https://www.metacritic.com/game/xbox-one/anarcute,Anarteam,"['Action', 'General']"
1310,Neon Chrome,2016-04-28,PC,74,/game/pc/neon-chrome,74.0,https://www.metacritic.com/game/pc/neon-chrome,"10tons Entertainment, 10tons","['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']"
1311,Eagle Flight,2016-10-13,PC,74,/game/pc/eagle-flight,69.0,https://www.metacritic.com/game/pc/eagle-flight,"Ubisoft Montreal, FunHouse","['Action', 'Simulation', 'Flight', 'General', 'Combat']"
1312,Batman: The Telltale Series - Episode 3: New World Order,2016-10-25,PlayStation 4,74,/game/playstation-4/batman-the-telltale-series---episode-3-new-world-order,69.0,https://www.metacritic.com/game/playstation-4/batman-the-telltale-series---episode-3-new-world-order,Telltale Games,"['Adventure', 'Point-and-Click']"
1313,Blues and Bullets - Episode 2: Shaking The Hive,2016-04-08,Xbox One,74,/game/xbox-one/blues-and-bullets---episode-2-shaking-the-hive,45.0,https://www.metacritic.com/game/xbox-one/blues-and-bullets---episode-2-shaking-the-hive,A Crowd of Monsters,"['Action Adventure', 'General']"
1314,TASTEE: Lethal Tactics,2016-05-10,PC,74,/game/pc/tastee-lethal-tactics,64.0,https://www.metacritic.com/game/pc/tastee-lethal-tactics,SkyBox Labs,"['Strategy', 'Turn-Based', 'Tactics']"
1315,Disgaea PC,2016-02-04,PC,74,/game/pc/disgaea-pc,60.0,https://www.metacritic.com/game/pc/disgaea-pc,Nippon Ichi Software,"['Strategy', 'Turn-Based', 'Tactics']"
